,A,B,text,target,stem
0,1,1,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,1,"['سم', 'له', 'رحمن', 'رحيم']"
1,1,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,2,"['له', 'حمد', 'عالم', 'رب']"
2,1,3,الرَّحْمَنِ الرَّحِيمِ,3,"['رحمن', 'رحيم']"
3,1,4,مَالِكِ يَوْمِ الدِّينِ,4,"['مال', 'وم', 'دين']"
4,1,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,5,"['عبد', 'ستعي']"
5,1,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,6,"['هد', 'صراط', 'مستقيم']"
6,1,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,7,"['ضال', 'مغضوب', 'نعم', 'صراط']"
7,2,1,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ الم,8,"['سم', 'رحمن', 'له', 'لم', 'رحيم']"
8,2,2,ذَلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,9,"['كتاب', 'هدى', 'ريب', 'متق']"
9,2,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,10,"['نفق', 'ؤمن', 'رزق', 'غيب', 'قيم', 'صلا']"
10,2,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,11,"['نزل', 'قبل', 'آخرة', 'ؤمن', 'وقن']"
11,2,5,أُولَئِكَ عَلَى هُدًى مِّن رَّبِّهِمْ وَأُولَئِكَ هُمُ الْمُفْلِحُونَ,12,"['هدى', 'رب', 'أولئك', 'مفلح']"
12,2,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,13,"['فروا', 'ؤمن', 'لم', 'أم', 'نذر', 'أنذر']"
13,2,7,خَتَمَ اللَّهُ عَلَى قُلُوبِهِمْ وَعَلَى سَمْعِهِمْ وَعَلَى أَبْصَارِهِمْ غِشَاوَةٌ وَلَهُمْ عَذَابٌ عَظِيمٌ,14,"['غشاو', 'ختم', 'عظيم', 'سمع', 'قلوب', 'له', 'عذاب', 'صار']"
14,2,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,15,"['آمن', 'ناس', 'له', 'قول', 'آخر', 'مؤمن', 'يوم']"
15,2,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,16,"['شعر', 'آمنو', 'نفس', 'خادع', 'له', 'خدع']"
16,2,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,17,"['يم', 'مرض', 'قلوب', 'كذب', 'له', 'زاد', 'عذاب', 'مرض']"
17,2,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,18,"['مصلح', 'فسد', 'إذا', 'قيل', 'أرض']"
18,2,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَكِن لَّا يَشْعُرُونَ,19,"['مفسد', 'شعر', 'ألا', 'لكن']"
19,2,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَكِن لَّا يَعْلَمُونَ,20,"['آمن', 'آمنو', 'نؤم', 'سفهاء', 'إذا', 'ناس', 'كما', 'قيل', 'لكن', 'ألا', 'علم']"
