common_roots,relevance_degree,fasttext
0,2,0.3737936055969109
2,1,0.7320915072012246
0,0,0.0469326383610986
0,0,0.93147059652501
0,0,0.251675078516788
0,0,-0.1928635251803537
1,0,0.2914246034697608
1,0,0.1844101441359373
1,1,0.1857419925257711
2,0,0.2655933025081129
3,2,0.7567558468725015
0,0,0.1769471831960125
0,0,0.7276017921125337
1,0,0.3051254073929554
0,0,0.1180819890949892
3,1,0.3216721849945022
0,0,0.1475757894858016
1,0,0.414542289314967
2,1,0.434618557212203
0,0,0.0745124072643438
3,0,0.4386979585995981
2,1,0.3727165862780303
2,0,0.4236307126502996
2,1,0.2669788212868013
1,0,0.2222103121304626
1,1,0.7043677872675044
1,1,0.2711638647214666
2,0,0.5734033311866304
0,1,0.3294052454447376
1,1,0.4456936396287932
0,0,0.1459925837297885
1,2,0.9034533506819408
1,1,0.0803337290488283
1,1,0.5138384847531631
2,1,0.4780690338421225
1,1,0.4812130544965458
1,1,0.156111408805218
1,1,-0.0481260973029184
2,1,0.2631277196299109
1,1,0.3798359188743143
1,1,0.0609070840459833
0,1,-0.1149682505955717
0,1,0.1396482509496153
1,2,0.0852285458398984
2,2,0.4536943563341877
1,1,-0.2111050511477943
2,2,0.425750119604144
1,1,0.0870445783920291
0,1,0.0571484423641825
2,1,0.3783697549426473
0,0,0.0023949260168171
1,1,-0.0279714287716778
0,0,0.1365459293619208
0,0,0.0983513662311498
0,0,0.049814212178039
0,0,0.005115084796985
0,0,-0.0249114408898234
1,2,0.3960438289461115
0,0,-0.0228961118170672
0,1,0.063014448637502
1,2,0.5602796029691293
1,1,0.3390171795575558
1,1,0.3387686404648219
0,2,0.2871078247949612
1,1,0.4749240052980367
0,2,0.3873667098910174
1,1,0.4028452721252777
0,1,0.1619252850750338
1,1,0.2484779891139264
3,2,0.7894135905330313
0,1,0.1436319051084179
0,1,0.1719613566423871
2,1,0.7475844542858322
3,1,0.6591692873764481
1,2,0.5135279317175571
1,1,0.616130785132758
1,2,0.0804235659878341
0,1,0.204060115927605
1,2,0.354498889018605
0,0,0.0644599552695544
0,0,0.2662496842022136
2,2,0.0440139170367095
2,2,0.1562975665446766
0,2,0.1107281108761391
0,1,0.0927769434725451
1,1,0.1786775778477591
1,1,-0.0609383715119762
0,0,0.268560063489251
1,1,0.2777797745703332
1,2,0.0721661171202785
0,1,0.1429013630770775
1,2,0.4323914133345733
0,2,0.2120830716147689
0,0,0.1534243298760165
2,2,0.7016580164136839
1,2,0.3530139528142298
0,0,0.1866738799240118
0,1,0.1429013630770775
0,1,0.1045037666659711
1,1,0.3473291402919435
1,1,-0.013231647964974
0,1,0.3270214766530452
1,2,0.2527259787342816
1,2,0.4272592132776621
1,1,0.2594703295430849
1,1,0.2232762297182742
3,2,0.458807684960264
3,2,0.4869538468180953
4,1,0.2517075913941995
5,2,0.4569972223877159
1,2,0.3221709809177457
2,1,0.3798793819789308
2,1,0.7196616493752139
2,1,0.4107891565974352
0,1,0.1034635273853063
3,2,0.4524709689838661
0,0,0.1202330235720291
0,0,0.038939524256389
0,0,0.1105432737059918
0,0,0.121664932535929
0,0,0.106522125267502
0,0,0.0221335990770795
1,0,0.5976184576436211
0,1,0.2472193957830468
0,0,0.1180209859547874
0,0,0.0821479703575575
0,2,0.2059495127047419
1,2,0.4657765729906062
0,1,0.2532129983871399
2,1,0.2684222308524709
0,1,-0.0597967438627398
1,1,0.2655615038706688
0,0,0.1493249336385176
1,2,0.4246095164272925
2,2,0.3394678804286115
2,1,0.3711640005812042
5,2,0.5182587598870226
0,0,0.1236321866514523
1,2,0.3671146798269853
1,2,0.4950034942644972
1,2,0.4128610848627994
2,2,0.3338959190450439
0,1,0.2606992498528164
1,1,0.4343376109245421
1,2,0.5768616095095499
4,2,0.6837835082486561
3,2,0.5445988560581174
0,1,0.0680410202046979
1,1,0.0203344202960753
1,1,0.1042112762286324
0,1,0.2919535774891306
1,1,0.2645053429729656
0,0,0.0614017529098797
0,0,0.0473547685179754
2,2,0.0939636871632883
4,1,0.2118879631991399
3,1,-0.0273789166895327
0,0,-0.1847065463854781
0,2,0.2454745531075859
0,2,0.125392422600983
0,1,0.0711158855190298
2,2,0.2797578646411902
0,2,0.002865755303063
0,2,0.2177107295980367
0,1,0.0877975979923255
0,0,0.0862812474321353
0,2,0.037097272746403
0,1,0.0307818935442856
3,2,0.4844276871340822
0,1,0.2738287089963459
0,1,0.121394643043836
2,1,0.2248482702183716
1,0,0.1957164290548714
1,1,0.2457863623935129
3,1,0.5496202770556649
0,1,0.1968248761649194
1,2,0.1254399615477385
0,1,0.162421000653809
0,1,-0.086868773961381
1,1,0.3189722125824015
0,0,0.136124589463123
0,0,-0.0527924141048648
1,1,0.2233966069734335
1,1,0.2923575529945917
2,1,0.1253221490174271
0,1,0.1460508100459325
0,1,0.1684677135691947
2,1,0.3496345129179601
2,1,0.3581273183414166
0,1,0.0897776352766765
0,1,0.2936642894969249
5,1,0.2005080881799983
0,1,0.0011384308096539
4,2,0.6133014677634757
6,2,0.7849553471955838
1,2,0.5286640156421448
8,2,0.6663288335228288
5,2,0.5009078038409495
8,2,0.8377746150632293
8,2,0.8276562742483295
4,2,0.2989697376449984
4,2,0.5659336146170748
1,1,0.1533951434172127
0,1,0.2685354472170898
1,0,0.2734841973276495
0,1,0.0667476938971116
0,0,0.0893341135957719
0,1,-0.049458854210181
0,1,0.1201162068677212
0,2,0.0050988182717887
0,0,-0.0536821006080609
0,0,-0.0662067517456236
0,0,0.0443822033048705
0,1,0.0948181981319086
0,0,0.011534985268836
0,0,0.0976002575270392
0,0,-0.0500553279111174
0,0,-0.0432109285124321
0,2,0.2271562671173691
0,0,0.0507419004595258
1,0,-0.0104941429355764
0,0,0.1191370489801785
0,0,0.0556236277106699
2,1,0.1884461848774679
1,1,0.1933381569557012
0,0,0.0706873210188997
3,0,0.2046522689914256
3,1,0.2513499726671724
4,1,0.26845618385333
3,1,0.2176474906256293
5,1,0.517326075869201
6,1,0.3544120900629119
3,1,0.3838723203101992
3,1,0.4116053845302613
3,1,0.3176425131495512
4,1,0.2768775956450773
3,1,0.3091703326014003
6,1,0.5063280641052635
11,1,0.7513978231627675
1,2,0.4580410443264662
0,2,0.0724694523390171
0,1,0.0036253996986523
3,2,0.7079366907174555
2,2,0.242113676936775
9,2,0.9250191698352256
3,2,0.4444683497584759
4,2,0.4038183158529282
4,2,0.5383142367303863
4,2,0.2585449085313026
4,2,0.4748496587198537
0,1,0.135123647172096
0,1,0.1409964165265382
1,2,0.1002473570541443
